epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3456.99,1.29886,1.77855,1.17519,0.94049,0.83736,0.90505,0.55479,1.34935,0.95988,1.21754,0.000665912,0.000665912,0.000665912
2,7503.65,1.28696,0.87199,1.21164,0.90788,0.84146,0.90083,0.57026,1.29584,0.82969,1.20734,0.00120065,0.00120065,0.00120065
3,10948.3,1.26084,0.75884,1.19541,0.91059,0.85833,0.88818,0.57592,1.24102,0.81602,1.1622,0.00160339,0.00160339,0.00160339
4,14336,1.22637,0.70078,1.17327,0.94276,0.87745,0.9275,0.59962,1.26361,0.68868,1.18207,0.001406,0.001406,0.001406
5,20270,1.1972,0.64556,1.14873,0.95637,0.88868,0.93585,0.63923,1.17224,0.65271,1.1299,0.001208,0.001208,0.001208
6,23922.1,1.16672,0.60982,1.12938,0.97589,0.90114,0.94906,0.64504,1.15961,0.60173,1.11298,0.00101,0.00101,0.00101
7,39860.9,1.14607,0.57188,1.12274,0.96706,0.9262,0.9575,0.65532,1.14858,0.56989,1.10281,0.000812,0.000812,0.000812
8,48910.9,1.12692,0.54187,1.10428,0.96793,0.92129,0.9573,0.6599,1.15173,0.54637,1.10067,0.000614,0.000614,0.000614
9,59395.1,1.09995,0.51131,1.08822,0.97703,0.93075,0.96313,0.67469,1.11879,0.50268,1.08181,0.000416,0.000416,0.000416
10,86533.9,1.08755,0.48308,1.07643,0.98415,0.93212,0.96636,0.68386,1.09934,0.47779,1.06451,0.000218,0.000218,0.000218
