epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.6108,1.25743,3.72051,1.26533,0.00333,1,0.73765,0.46173,1.28516,4.0043,1.02703,0.00044,0.00044,0.00044
2,147.236,1.20406,2.40717,1.15874,0.79948,0.44314,0.54241,0.31914,1.15684,3.74359,1.04347,0.00088218,0.00088218,0.00088218
3,220.965,1.20186,2.10713,1.14101,0.00333,1,0.45876,0.24595,1.04827,3.69182,1.04076,0.00130614,0.00130614,0.00130614
4,283.948,1.20758,2.10213,1.18748,0.54445,0.44444,0.47479,0.27148,1.12729,3.10138,1.20179,0.00171189,0.00171189,0.00171189
5,345.771,1.27648,2.02469,1.21538,0.81012,0.77778,0.84381,0.5475,1.17308,2.59363,1.1635,0.0018416,0.0018416,0.0018416
6,407.527,1.20547,1.84253,1.22514,0.87885,0.80684,0.91574,0.6136,1.03494,2.17952,1.19194,0.001802,0.001802,0.001802
7,468.72,1.14196,1.74955,1.19443,0.76725,0.77778,0.85904,0.59011,1.01025,2.06792,1.0428,0.0017624,0.0017624,0.0017624
8,534.009,1.09467,1.59949,1.15159,0.75817,0.94444,0.85017,0.56238,1.07974,1.84441,1.14546,0.0017228,0.0017228,0.0017228
9,599.588,1.17187,1.54612,1.18518,0.91987,0.72222,0.82327,0.54356,1.02723,1.85067,1.08063,0.0016832,0.0016832,0.0016832
10,663.306,1.09712,1.43264,1.17241,0.92108,0.64939,0.69652,0.52134,0.92134,2.09873,1.01827,0.0016436,0.0016436,0.0016436
11,725.809,1.0783,1.4674,1.12878,0.70774,0.88889,0.79122,0.55451,1.01809,1.89464,1.0942,0.001604,0.001604,0.001604
12,788.342,1.05895,1.36928,1.15091,0.89953,0.99502,0.93662,0.67648,0.92698,1.27163,0.9799,0.0015644,0.0015644,0.0015644
13,850.139,1.02152,1.27926,1.11362,0.86828,0.94444,0.91646,0.64917,1.07577,1.40718,1.00928,0.0015248,0.0015248,0.0015248
14,912.028,1.03124,1.20545,1.10673,0.93005,0.94444,0.97841,0.70587,0.94394,1.27637,0.96657,0.0014852,0.0014852,0.0014852
15,981.388,1.05024,1.1472,1.0949,0.85912,0.83333,0.92367,0.63872,0.86578,1.15461,0.98066,0.0014456,0.0014456,0.0014456
16,1050.27,0.97978,1.11004,1.08076,0.92565,1,0.97763,0.73252,0.7745,1.01827,0.90926,0.001406,0.001406,0.001406
