epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1233,1.45799,4.27969,1.40585,0.00188,0.56522,0.02318,0.01038,1.1309,4.2242,1.1856,0.00018,0.00018,0.00018
2,84.6148,1.16203,3.60985,1.09987,0.00333,1,0.73376,0.43679,1.0269,3.90584,0.95955,0.000372476,0.000372476,0.000372476
3,129.19,1.19949,2.94104,1.10508,1,0.48402,0.84032,0.44813,1.18083,3.76837,1.07539,0.000557032,0.000557032,0.000557032
4,170.361,1.22565,2.50633,1.11414,1,0.25596,0.73967,0.42224,1.16173,3.66925,0.98224,0.000733668,0.000733668,0.000733668
5,211.313,1.27681,2.69375,1.18301,1,0.14478,0.44847,0.1943,1.18318,3.84174,1.00167,0.000902384,0.000902384,0.000902384
6,252.265,1.40869,2.66526,1.16955,0.38135,0.3913,0.35649,0.2037,1.1545,3.82754,1.03305,0.00106318,0.00106318,0.00106318
7,292.255,1.35568,2.49151,1.17573,0.28666,0.52174,0.36431,0.16507,1.17262,3.58216,1.08542,0.00121606,0.00121606,0.00121606
8,332.452,1.29237,2.29485,1.13357,0.38293,0.4318,0.38119,0.20834,1.19238,3.50905,1.11464,0.00136101,0.00136101,0.00136101
9,372.953,1.25238,2.11125,1.14275,0.54414,0.47826,0.56365,0.36049,1.20642,3.47003,1.16524,0.00149805,0.00149805,0.00149805
10,415.715,1.18281,2.05807,1.15633,0.72593,0.57625,0.73351,0.36982,1.52097,3.20742,1.60806,0.00162716,0.00162716,0.00162716
11,460.264,1.35751,2.06127,1.25472,0.78698,0.65217,0.80575,0.48815,1.32825,3.00424,1.28285,0.001604,0.001604,0.001604
12,503.227,1.24578,2.19604,1.2289,0.65567,0.58001,0.69777,0.42661,1.35415,3.16553,1.21264,0.0015644,0.0015644,0.0015644
13,549.641,1.21189,1.97138,1.16628,0.70032,0.50858,0.62951,0.41598,1.30305,3.2082,1.20037,0.0015248,0.0015248,0.0015248
14,595.886,1.29122,1.93311,1.22058,0.74544,0.76436,0.83489,0.45768,1.52579,2.96344,1.50819,0.0014852,0.0014852,0.0014852
15,639.754,1.3137,1.84757,1.19631,0.56002,0.65217,0.64194,0.36131,1.53186,3.12314,1.48657,0.0014456,0.0014456,0.0014456
16,685.591,1.24257,1.96111,1.14685,0.56057,0.65217,0.5595,0.29589,1.45359,3.36386,1.45655,0.001406,0.001406,0.001406
17,731.896,1.16688,1.87456,1.16264,0.66,0.59131,0.59584,0.31704,1.3597,3.18202,1.35661,0.0013664,0.0013664,0.0013664
18,758.825,1.12797,1.73245,1.11843,0.66786,0.78697,0.73763,0.43938,1.31475,2.7225,1.34395,0.0013268,0.0013268,0.0013268
19,784.215,1.17987,1.62629,1.14908,0.80865,0.73513,0.74817,0.46211,1.26359,2.85295,1.26209,0.0012872,0.0012872,0.0012872
20,1232.1,1.19038,1.71551,1.20552,0.82982,0.69565,0.76146,0.47135,1.2746,2.87734,1.22538,0.0012476,0.0012476,0.0012476
21,1383.65,1.06994,1.5687,1.09352,0.7707,0.73099,0.81846,0.52177,1.22595,2.37477,1.21444,0.001208,0.001208,0.001208
22,2336.92,1.1995,1.61515,1.18157,0.86611,0.91304,0.86811,0.53638,1.23196,2.10391,1.23243,0.0011684,0.0011684,0.0011684
23,2754.56,1.21498,1.61166,1.13362,0.78165,0.91304,0.85443,0.49962,1.36124,2.2731,1.30975,0.0011288,0.0011288,0.0011288
24,2899.03,1.16417,1.48362,1.12997,0.75013,0.95652,0.79219,0.46152,1.48551,2.24633,1.40852,0.0010892,0.0010892,0.0010892
25,3616.14,1.07242,1.54254,1.06042,0.75111,0.91863,0.80909,0.50463,1.34491,2.07338,1.40173,0.0010496,0.0010496,0.0010496
26,4574.81,1.04534,1.46977,1.05428,0.85822,0.95652,0.92594,0.56719,1.31851,1.80795,1.37291,0.00101,0.00101,0.00101
27,4670.02,1.0747,1.4616,1.08632,0.91607,0.94937,0.93835,0.5718,1.28962,1.75493,1.33403,0.0009704,0.0009704,0.0009704
28,4746.43,1.06042,1.43086,1.09654,0.91647,0.95418,0.95062,0.5971,1.27753,1.80187,1.31272,0.0009308,0.0009308,0.0009308
29,4833.34,0.93515,1.29897,1.04251,0.91295,0.912,0.94765,0.62033,1.24797,1.71692,1.28613,0.0008912,0.0008912,0.0008912
30,4921.03,1.05099,1.28171,1.06141,0.90253,0.95652,0.953,0.61672,1.23315,1.56979,1.27004,0.0008516,0.0008516,0.0008516
31,5009.5,0.96073,1.20522,1.05171,0.883,0.98474,0.95003,0.62225,1.27809,1.57175,1.3053,0.000812,0.000812,0.000812
32,5094.77,0.96189,1.10947,1.03583,0.88418,0.99594,0.93669,0.60875,1.23803,1.47403,1.25705,0.0007724,0.0007724,0.0007724
33,5179.72,0.9769,1.14173,1.0627,0.90662,1,0.9424,0.64235,1.14607,1.44645,1.20183,0.0007328,0.0007328,0.0007328
34,5268.24,0.93711,1.1962,1.02637,0.88376,1,0.94286,0.67878,1.13928,1.41667,1.18539,0.0006932,0.0006932,0.0006932
35,5355.78,0.91709,1.13838,1.01361,0.87509,1,0.95031,0.67348,1.13956,1.42947,1.18525,0.0006536,0.0006536,0.0006536
36,5441.78,0.90766,1.08779,1.00442,0.91967,0.99565,0.96269,0.66539,1.1344,1.44123,1.17897,0.000614,0.000614,0.000614
37,5518.2,0.91595,1.04977,1.03975,0.88291,0.98397,0.96705,0.6623,1.15068,1.45418,1.174,0.0005744,0.0005744,0.0005744
38,5591.73,0.89067,1.22989,1.03547,0.95628,0.95129,0.97876,0.69034,1.14058,1.38278,1.1301,0.0005348,0.0005348,0.0005348
39,5665.53,0.82507,1.05098,0.97877,0.9576,0.98232,0.97542,0.66696,1.17161,1.34664,1.13202,0.0004952,0.0004952,0.0004952
40,5739.04,0.91147,1.11827,1.02464,0.95788,0.98918,0.97,0.65712,1.17623,1.32233,1.14484,0.0004556,0.0004556,0.0004556
41,5811.71,0.85323,1.19262,1.01175,0.95483,0.95652,0.96528,0.64046,1.14964,1.30058,1.15101,0.000416,0.000416,0.000416
42,5884.59,0.75797,1.13571,0.95639,0.95186,0.95652,0.96354,0.6603,1.14054,1.29095,1.17059,0.0003764,0.0003764,0.0003764
43,5957.69,0.84309,1.14357,1.02169,0.95072,0.95652,0.96745,0.65072,1.14854,1.27087,1.19607,0.0003368,0.0003368,0.0003368
44,6032.54,0.83097,1.15696,1.02344,0.95813,0.99517,0.97708,0.66642,1.12887,1.2832,1.19196,0.0002972,0.0002972,0.0002972
45,6104.92,0.71552,1.12938,0.9493,0.95818,0.99632,0.97708,0.65981,1.12271,1.29391,1.19205,0.0002576,0.0002576,0.0002576
46,6177.59,0.77164,1.15017,1.00217,0.95824,0.99778,0.97708,0.64798,1.15018,1.30435,1.18905,0.000218,0.000218,0.000218
47,6249.43,0.7109,1.05326,0.95349,0.95827,0.99838,0.9825,0.65535,1.15867,1.30767,1.19273,0.0001784,0.0001784,0.0001784
48,6321.33,0.67504,1.07476,0.94943,0.9583,0.99921,0.98417,0.65362,1.16037,1.29776,1.19903,0.0001388,0.0001388,0.0001388
49,6393.04,0.65428,1.00743,0.94458,0.95831,0.99951,0.98417,0.65363,1.15964,1.28242,1.19852,9.92e-05,9.92e-05,9.92e-05
50,6465.47,0.69151,1.0405,0.96074,0.95824,1,0.98417,0.65187,1.1547,1.26262,1.19555,5.96e-05,5.96e-05,5.96e-05
